top row,Structure,Chemical Name,Minimum % Purity,Catalog Number,Structural Formula,Formula Weight,Availability,Price USD 10mg,Price USD 100mg,Price USD 250mg,Price USD    1g,Price USD    5g,Price USD    20g,Price USD    50g
4039800,,Bis(2-carboxyphenyl)selenide,95,FS000078,C14H10O4Se,321.1934,In Stock,95,195,595,895,,,
4039803,,3-Acetyl-benzoic acid methyl ester,95,FS005060,C10H10O3,178.1894,In Stock,75,145,295,495,2295,4995,
4039804,,3-(2-Bromo-acetyl)-benzoic acid methyl ester,95,FS005061,C10H9BrO3,257.08543,In Stock,95,195,295,495,1995,5995,
4039805,,3-Bromo-6-chloro-2-methyl-pyridine,95,FS001025,C6H5BrClN,206.47045,In Stock,,,,95,395,1495,2392
4039812,,"5-Bromo-quinazoline-2,4-diamine",95,FS020176,C8H7BrN4,239.07579,In Stock,95,195,295,495,1995,,
1701406806,,"7-Chloro-3,4-dihydro-2H-benzo[b]oxepin-5-one",95,FS002118,C10H9ClO2,196.63503,In Stock,,,,195,950,2950,
1701406807,,Isothiazole,95,FS000701,C3H3NS,85.12806,In Stock,,,95,295,1295,2995,
1701406809,,"2,4-Dibromo-pyridine",95,FS001026,C5H3Br2N,236.89436,In Stock,,,95,115,470,1670,2672
1701406813,,CML,95,FS810003,C8H16N2O4,204.22772,In Stock,950,,,,,,
1701406814,,d4-CML,95,FS810004,C8H12N2O4D4,208.25184,In Stock,,,,,,,
